id,tgs_code,lookup_url,sgd_list,sgd_net_sc_u40,sgd_net_sc_40,sgd_net_sme,sfc_can_offset_nett,sfgw,funding_note
c59,TGS-2023040108,https://courses.myskillsfuture.gov.sg/courses/TGS-2023040108,3270,1770,1170,1170,yes,yes,NTU FlexiMasters GHG Emissions Measurement and Management. SFGW-SR
c60,,https://courses.myskillsfuture.gov.sg/search?TP_ALIAS_Suggest=Sustainable+Energy+Association+of+Singapore+%28SEAS%29,600,300,300,300,yes,no,SEAS WSQ Maintenance Management of Solar PV. SFC can zero the nett
c61,,https://courses.myskillsfuture.gov.sg/search?TP_ALIAS_Suggest=Sustainable+Energy+Association+of+Singapore+%28SEAS%29,1000,500,500,500,yes,no,SEAS SCEM WSQ Energy Measurement and Audit. 4.5 stars 216 reviews
c62,TGS-2025056741,https://courses.myskillsfuture.gov.sg/courses/TGS-2025056741--Carbon-Accounting-Enterprises-2,2071,1121,741,741,yes,no,NUS SGFIN. 70% SC/PR; 70% MCES SC40 in their table (S$741)
c63,TGS-2025054364,https://courses.myskillsfuture.gov.sg/courses/TGS-2025054364--Carbon-Management-Corporate-Sustainability-Key-Skill-Leaders,3150,1445,445,445,yes,no,NUS. MySkillsFuture estimated payable from S$445
c64,TGS-2026061970,https://verticalinstitute.com/short-courses/carbon-reporting-ghg-measurement-course/,1417,767,507,507,yes,no,Vertical Institute. S$1300+GST. SFC can offset nett
c65,,https://academy.smu.edu.sg/courses/advanced-certificate-sustainability-and-sustainable-business-module-2-environmental-carbon,1744,944,624,624,yes,no,SMU Academy module. Full ACSSB unfunded S$10464
c66,,https://academy.smu.edu.sg/courses/sctp-advanced-certificate-driving-sustainability-future-future-work-through-sustainable,20928,6278,2438,2438,yes,no,SMU SCTP. AFS ~S$1478. Mid-Career Credit S$4000 eligible
c67,,https://www.singaporetech.edu.sg/sitlearn/courses/engineering/energy-sustainability-energy-management-systems,5450,1635,635,1635,yes,no,SIT 5-day. SCEM PDUs
c68,TGS-2023035949,https://www.singaporetech.edu.sg/sitlearn/courses/engineering/environmental-sustainability-measurement-management-microcredential,9869,2961,1150,2961,yes,no,SIT Specialist Certificate. Part-time training allowance S$300/mo if eligible
c69,,https://www.ntuclearninghub.com/skillsfuture-career-transition-programme/sustainable-procurement-specialist,13353,4006,1556,1556,yes,no,NTUC SCTP 318h. AFS S$943
c70,,https://www.tp.edu.sg/schools-and-courses/adult-learners/all-courses/skillsfuture-career-transition-programme/environmental-services-specialist.html,9592,2878,1118,1118,yes,no,TP SCTP 300h. AFS S$678
c71,TGS-2021006095,https://courses.myskillsfuture.gov.sg/courses/TGS-2021006095--Green-Mark-Energy-Sustainability,5000,1500,500,1500,yes,no,Singapore Polytechnic Green Mark and Energy Sustainability. Confirm live fee; SFC Mid-Career eligible
c73,,https://www.ntu.edu.sg/business/admissions/NEE/FlexiMasters/fleximasters-in-sustainability-business-ecosystems,35425,10628,4128,4128,yes,yes,SFGW-SR FlexiMasters full programme
c74,TGS-2023040105,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2023040105,3250,975,975,975,yes,yes,SFGW-SR Climate Systems. Fees ex-GST on GoBusiness
c75,TGS-2023040109,https://courses.myskillsfuture.gov.sg/courses/TGS-2023040109--Sustainability-Reporting-SFGW-Programme,6500,1450,1450,1450,yes,yes,SFGW-SR. Payable from S$1450 after SSG+SFC
c76,TGS-2023040110,https://courses.myskillsfuture.gov.sg/search?TP_ALIAS_Suggest=Nanyang+Technological+University,6500,1450,1450,1450,yes,yes,SFGW-SR Sustainability and Law
c77,TGS-2023040111,https://courses.myskillsfuture.gov.sg/courses/TGS-2023040111--Naturebased-Solutions,3250,475,475,475,yes,no,FlexiMasters Nature-based Solutions
c78,TGS-2023040107,https://courses.myskillsfuture.gov.sg/courses/TGS-2023040107,3250,975,975,975,yes,yes,SFGW-SR Corporate Sustainability Strategies
c79,TGS-2025056512,https://courses.myskillsfuture.gov.sg/courses/TGS-2025056512--SFGW-Programme-Governance-Sustainable-Business-Practices,1600,800,800,800,yes,yes,SFGW-SR. Payable from S$300 after SFC
c80,TGS-2026063359,https://courses.myskillsfuture.gov.sg/courses/TGS-2026063359,1600,800,800,800,yes,yes,SFGW-SR AI ISSB stack. Confirm live fee
c81,TGS-2026063358,https://courses.myskillsfuture.gov.sg/courses/TGS-2026063358,1600,800,800,800,yes,yes,SFGW-SR AI supply chain. Confirm live fee
c82,,https://courses.myskillsfuture.gov.sg/search?TP_ALIAS_Suggest=Sustainable+Energy+Association+of+Singapore+%28SEAS%29,1050,25,25,25,yes,no,SEAS SCEM ACMV. SFC can leave ~S$25
c83,TGS-2022014983,https://courses.myskillsfuture.gov.sg/courses/TGS-2022014983--SCEM-Professional-Level-WSQ-Combined-Heat-Power-Systems-Classroom-Asynchronous,1050,25,25,25,yes,no,SEAS SCEM CHP
c84,TGS-2024049152,https://courses.myskillsfuture.gov.sg/courses/TGS-2024049152--WSQ-Unlocking-Super-Low-Energy-Potential-Buildings,1100,50,50,50,yes,no,SEAS super low energy buildings
c85,,https://courses.myskillsfuture.gov.sg/search?TP_ALIAS_Suggest=Sustainable+Energy+Association+of+Singapore+%28SEAS%29,600,0,0,0,yes,no,SEAS WSQ solar PV installation. Payable S$0 with SFC
c86,,https://courses.myskillsfuture.gov.sg/search?TP_ALIAS_Suggest=Sustainable+Energy+Association+of+Singapore+%28SEAS%29,1200,100,100,100,yes,no,SEAS WSQ solar PV design
c87,TGS-2021010385,https://skillsfuture.gobusiness.gov.sg/course-directory/courses/TGS-2021010385,900,270,270,270,yes,no,SEAS solar plus storage. Fees ex-GST
c88,TGS-2025057545,https://seas.trainingsystemsg.com/TMS/courses/93,1090,590,390,390,yes,no,SEAS solar PV safety. SCDF/SERIS aligned
c89,TGS-2021009796,https://seas.trainingsystemsg.com/TMS/courses/14,872,472,312,312,yes,no,SEAS IoT energy management for solar
c90,TGS-2021004041,https://courses.myskillsfuture.gov.sg/courses/TGS-2021004041--Solar-Photovoltaic-PV-System-Planning-Design-Installation-Classroom-Asynchronous-learning,950,0,0,0,yes,no,Singapore Polytechnic solar PV planning. Payable S$0 with SFC
c91,TGS-2021005374,https://courses.myskillsfuture.gov.sg/courses/TGS-2021005374--Specialist-Diploma-Solar-Photovoltaic-PV-Engineering-Monitoring-SDSEM,9264,685,685,685,yes,no,Ngee Ann Polytechnic specialist diploma. Mid-Career Credit eligible
c92,TGS-2025054849,https://courses.myskillsfuture.gov.sg/courses/TGS-2025054849--Specialist-Certificate-Sustainable-Energy-Systems-Classroom-Synchronous-Asynchronous,9180,2254,2254,2254,yes,no,SIT specialist certificate. Mid-Career Credit eligible
